4225
[12.1856,-0.00433731,-21.8963]
$[-21.3437,5.43594e-05,-18.8083]
$[-23.3797,-0.0132799,-17.4787]
%[-21.3906,0.126695,3.72834]
%[-21.2472,0.154387,7.03778]
%[-17.5072,-0.00359726,9.29334]
%[15.0034,1.90735e-05,11.0883]
%[11.1425,0.00119972,13.7862]
%[6.57227,-0.00651741,11.3448]
%[4.2526,0.225224,9.17958]
#[¾øÀ½]
#[../../Resources/Testures/DesertCrack_dtw.tga]
#[../../Resources/Testures/terrain3.png]
#[../../Resources/Testures/terrain4.png]
#[../../Resources/Testures/Splat1.png]
//============¸Ê=============
[-32,0.495764,32][0]
[-31,0.522871,32][0]
[-30,0.547504,32][0]
[-29,0.610409,32][0]
[-28,0.701651,32][0]
[-27,0.810243,32][0]
[-26,0.927629,32][0]
[-25,1.04544,32][0]
[-24,1.14956,32][0]
[-23,1.21969,32][0]
[-22,1.24197,32][0]
[-21,1.22426,32][0]
[-20,1.2024,32][0]
[-19,1.22569,32][0]
[-18,1.33485,32][0]
[-17,1.53715,32][0]
[-16,1.79988,32][0]
[-15,2.06976,32][0]
[-14,2.30566,32][0]
[-13,2.49773,32][0]
[-12,2.65396,32][0]
[-11,2.78163,32][0]
[-10,2.87873,32][0]
[-9,2.93912,32][0]
[-8,2.95402,32][0]
[-7,2.91087,32][0]
[-6,2.79573,32][0]
[-5,2.60123,32][0]
[-4,2.33427,32][0]
[-3,2.01709,32][0]
[-2,1.68104,32][0]
[-1,1.35745,32][0]
[0,1.07044,32][0]
[1,0.833481,32][0]
[2,0.649291,32][0]
[3,0.512196,32][0]
[4,0.411741,32][1]
[5,0.33642,32][1]
[6,0.276492,32][0]
[7,0.225391,32][0]
[8,0.179801,32][0]
[9,0.13885,32][0]
[10,0.102976,32][0]
[11,0.0729269,32][0]
[12,0.0491115,32][0]
[13,0.0313482,32][0]
[14,0.0189151,32][0]
[15,0.0107636,32][0]
[16,0.0057642,32][0]
[17,0.00289943,32][0]
[18,0.00136737,32][0]
[19,0.000603552,32][0]
[20,0.000248928,32][0]
[21,9.57761e-05,32][0]
[22,3.43211e-05,32][0]
[23,1.14357e-05,32][0]
[24,3.53684e-06,32][0]
[25,1.01349e-06,32][0]
[26,2.68546e-07,32][0]
[27,6.56554e-08,32][0]
[28,1.47751e-08,32][0]
[29,3.05237e-09,32][0]
[30,5.77301e-10,32][0]
[31,1.01113e-10,32][0]
[32,2.70548e-11,32][0]
[-32,0.503689,31][0]
[-31,0.53481,31][0]
[-30,0.564394,31][0]
[-29,0.638726,31][0]
[-28,0.742713,31][0]
[-27,0.859296,31][0]
[-26,0.976096,31][0]
[-25,1.08808,31][0]
[-24,1.18841,31][0]
[-23,1.26024,31][0]
[-22,1.28697,31][0]
[-21,1.27441,31][0]
[-20,1.25646,31][0]
[-19,1.2852,31][0]
[-18,1.40688,31][1]
[-17,1.63725,31][1]
[-16,1.93734,31][0]
[-15,2.2326,31][0]
[-14,2.47074,31][0]
[-13,2.65068,31][0]
[-12,2.79973,31][0]
[-11,2.93091,31][0]
[-10,3.04005,31][0]
[-9,3.11688,31][0]
[-8,3.14949,31][0]
[-7,3.11991,31][0]
[-6,3.00712,31][0]
[-5,2.79923,31][0]
[-4,2.50455,31][0]
[-3,2.15178,31][0]
[-2,1.77973,31][0]
[-1,1.42515,31][0]
[0,1.1145,31][0]
[1,0.861314,31][0]
[2,0.667137,31][0]
[3,0.524604,31][0]
[4,0.42159,31][1]
[5,0.345201,31][1]
[6,0.284711,31][0]
[7,0.232991,31][0]
[8,0.186511,31][0]
[9,0.144418,31][0]
[10,0.107292,31][0]
[11,0.076043,31][0]
[12,0.0512019,31][0]
[13,0.0326486,31][0]
[14,0.0196632,31][0]
[15,0.0111603,31][0]
[16,0.00595721,31][0]
[17,0.00298506,31][0]
[18,0.00140169,31][0]
[19,0.000615784,31][0]
[20,0.000252694,31][0]
[21,9.67113e-05,31][0]
[22,3.44665e-05,31][0]
[23,1.14199e-05,31][0]
[24,3.51188e-06,31][0]
[25,1.00059e-06,31][0]
[26,2.63611e-07,31][0]
[27,6.40824e-08,31][0]
[28,1.43399e-08,31][0]
[29,2.946e-09,31][0]
[30,5.54129e-10,31][0]
[31,9.64715e-11,31][0]
